,position,beta,z,gross_return,cost_drag,net_return,equity,turnover
2019-03-29,-1.0,1.1632682959300888,-1.3925671065779397,0.0029518916407948728,0.0007,0.0022518916407948727,982069.4504181049,1.0
2019-04-01,-1.0,1.1615835370450167,-0.3830792774354049,0.0007243560077533067,5.044096442130497e-07,0.0007238515981090936,982780.3229592443,0.0007205852060186424
2019-04-02,0.0,1.1610914361303173,-1.1779366519274208,-0.0,0.0007,-0.0007,982092.3767331727,1.0
2019-04-03,0.0,1.159713336146553,2.466920210687714,0.0,0.0,0.0,982092.3767331727,0.0
2019-04-04,-1.0,1.1618039701874199,-0.42729187129820884,0.0009544781899784075,0.0006999999999999999,0.0002544781899784076,982342.2978235955,0.9999999999999999
2019-04-05,0.0,1.1614449206085804,-0.6255158442787787,0.0,0.0006999999999999999,-0.0006999999999999999,981654.658215119,0.9999999999999999
2019-04-08,0.0,1.1603959260485974,-0.38360071630298137,0.0,0.0,0.0,981654.658215119,0.0
2019-04-09,0.0,1.1599101289087743,0.2007772768656923,0.0,0.0,0.0,981654.658215119,0.0
2019-04-10,0.0,1.160087214852306,-0.2727229475841967,0.0,0.0,0.0,981654.658215119,0.0
2019-04-11,0.0,1.1598075345729977,-0.043967067315688745,0.0,0.0,0.0,981654.658215119,0.0
2019-04-12,0.0,1.1597672653348727,-2.846834169155107,0.0,0.0,0.0,981654.658215119,0.0
2019-04-15,1.0,1.1559239580218128,0.13122861161658206,0.0004962089432405043,0.0007,-0.0002037910567594957,981454.6057749485,1.0
2019-04-16,0.0,1.1561180204872288,0.01514907146171463,0.0,0.0007,-0.0007,980767.587550906,1.0
2019-04-17,0.0,1.1561608780376984,0.952351377268244,0.0,0.0,0.0,980767.587550906,0.0
2019-04-18,0.0,1.1576408675745382,1.1177048400244078,0.0,0.0,0.0,980767.587550906,0.0
2019-04-19,0.0,1.1594572789745985,0.0358939068384202,0.0,0.0,0.0,980767.587550906,0.0
2019-04-22,0.0,1.1594756636043533,0.7278369209998671,0.0,0.0,0.0,980767.587550906,0.0
2019-04-23,0.0,1.1603081551290033,-0.8794388008324738,-0.0,0.0,-0.0,980767.587550906,0.0
2019-04-24,0.0,1.1583849021466444,0.6354869505512788,0.0,0.0,0.0,980767.587550906,0.0
2019-04-25,0.0,1.159416174912686,-0.1169755680811356,0.0,0.0,0.0,980767.587550906,0.0
2019-04-26,0.0,1.1604687648138354,-0.974592314243633,-0.0,0.0,-0.0,980767.587550906,0.0
2019-04-29,0.0,1.1589329602479264,-0.19003220248993133,0.0,0.0,0.0,980767.587550906,0.0
2019-04-30,0.0,1.1584901095761626,1.359380743020733,0.0,0.0,0.0,980767.587550906,0.0
2019-05-01,0.0,1.158846582688764,0.1465316420352684,0.0,0.0,0.0,980767.587550906,0.0
2019-05-02,0.0,1.1591429372769368,1.5183557163330588,0.0,0.0,0.0,980767.587550906,0.0
2019-05-03,0.0,1.1588347000199621,-0.6500891972904004,-0.0,0.0,-0.0,980767.587550906,0.0
2019-05-06,0.0,1.157679880708003,0.895669963273086,0.0,0.0,0.0,980767.587550906,0.0
2019-05-07,0.0,1.1588586382658919,-0.39055531356773093,0.0,0.0,0.0,980767.587550906,0.0
2019-05-08,0.0,1.1587373558067804,0.18098124593243242,0.0,0.0,0.0,980767.587550906,0.0
2019-05-09,0.0,1.159009784259017,0.12538641740302714,0.0,0.0,0.0,980767.587550906,0.0
2019-05-10,0.0,1.1592540476603401,0.6791277229711561,0.0,0.0,0.0,980767.587550906,0.0
2019-05-13,0.0,1.1601950620981167,0.22241010731589742,0.0,0.0,0.0,980767.587550906,0.0
2019-05-14,0.0,1.160471197978041,-0.773949935044926,0.0,0.0,0.0,980767.587550906,0.0
2019-05-15,0.0,1.1599144211601324,1.1560361300847506,0.0,0.0,0.0,980767.587550906,0.0
2019-05-16,0.0,1.160247488961304,1.8599193241651433,0.0,0.0,0.0,980767.587550906,0.0
2019-05-17,0.0,1.16249784817667,-0.8580394859641852,0.0,0.0,0.0,980767.587550906,0.0
2019-05-20,0.0,1.1608858856359134,-1.9045984849864823,-0.0,0.0,-0.0,980767.587550906,0.0
2019-05-21,0.0,1.1576516990146581,0.6376391446810029,0.0,0.0,0.0,980767.587550906,0.0
2019-05-22,0.0,1.157762960006094,-0.22877588291173628,0.0,0.0,0.0,980767.587550906,0.0
2019-05-23,0.0,1.1576376698665085,-0.07455404771438981,0.0,0.0,0.0,980767.587550906,0.0
2019-05-24,0.0,1.1575805729073745,0.7140381633632793,0.0,0.0,0.0,980767.587550906,0.0
2019-05-27,0.0,1.1578930756432348,-0.4908605046547324,-0.0,0.0,-0.0,980767.587550906,0.0
2019-05-28,0.0,1.157339858712468,-0.33738740155535024,-0.0,0.0,-0.0,980767.587550906,0.0
2019-05-29,0.0,1.1569535588867699,0.012723143260925135,0.0,0.0,0.0,980767.587550906,0.0
2019-05-30,0.0,1.156959403144091,1.6167444073815773,0.0,0.0,0.0,980767.587550906,0.0
2019-05-31,0.0,1.1591976116691427,-0.03918282158874531,0.0,0.0,0.0,980767.587550906,0.0
2019-06-03,0.0,1.1591503373045664,-1.4475453586308882,0.0,0.0,0.0,980767.587550906,0.0
2019-06-04,0.0,1.157842184684832,-1.35233117543935,0.0,0.0,0.0,980767.587550906,0.0
2019-06-05,0.0,1.1564691354285743,0.3453484657912326,0.0,0.0,0.0,980767.587550906,0.0
2019-06-06,0.0,1.1565387993597205,-1.1616702691193785,0.0,0.0,0.0,980767.587550906,0.0
2019-06-07,0.0,1.155478373455772,-1.592492098276264,-0.0,0.0,-0.0,980767.587550906,0.0
2019-06-10,0.0,1.1537038734479856,0.7495085176653313,0.0,0.0,0.0,980767.587550906,0.0
2019-06-11,0.0,1.154516251958575,0.7734342465957724,0.0,0.0,0.0,980767.587550906,0.0
2019-06-12,0.0,1.1555291755109693,-0.32243499431993883,-0.0,0.0,-0.0,980767.587550906,0.0
2019-06-13,0.0,1.155130609293534,0.4486906468702906,0.0,0.0,0.0,980767.587550906,0.0
2019-06-14,0.0,1.155514747663155,0.27022147208231595,0.0,0.0,0.0,980767.587550906,0.0
2019-06-17,0.0,1.1558228849650185,0.7559716494101453,0.0,0.0,0.0,980767.587550906,0.0
2019-06-18,0.0,1.1567786021222357,0.8315913986178199,0.0,0.0,0.0,980767.587550906,0.0
2019-06-19,0.0,1.1575407397073054,-2.6978393129303058,-0.0,0.0,-0.0,980767.587550906,0.0
2019-06-20,1.0,1.1539976033796804,-0.18890384168972602,-0.00030004622348768506,0.0007,-0.001000046223487685,979786.7746288566,1.0
2019-06-21,0.0,1.1538016210116575,0.7078260338090434,0.0,0.0007,-0.0007,979100.9238866162,1.0
2019-06-24,0.0,1.1542808458789184,-0.39461991229059956,0.0,0.0,0.0,979100.9238866162,0.0
2019-06-25,0.0,1.153687348005295,0.168910860125869,0.0,0.0,0.0,979100.9238866162,0.0
